遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,111000182,2022/08/01,1942050,38841,879300,01,04,07,08,09,10,12,14,15,18,23,24
雙贏彩,111000183,2022/08/02,1723150,34463,1170400,02,03,04,09,10,12,14,16,19,20,22,24
雙贏彩,111000184,2022/08/03,2169500,43390,410600,01,02,05,06,12,14,15,16,19,21,22,23
雙贏彩,111000185,2022/08/04,1770750,35415,359500,03,04,10,11,12,13,14,15,16,17,22,24
雙贏彩,111000186,2022/08/05,1830500,36610,489100,02,05,06,10,12,13,14,15,17,19,22,24
雙贏彩,111000187,2022/08/06,2245200,44904,413400,01,02,03,04,06,07,10,11,14,16,19,23
雙贏彩,111000188,2022/08/08,1988400,39768,408500,01,06,07,08,09,12,13,14,18,19,20,23
雙贏彩,111000189,2022/08/09,1777450,35549,873100,04,09,10,11,12,14,16,17,20,21,22,23
雙贏彩,111000190,2022/08/10,2233150,44663,516500,01,04,05,08,09,10,11,13,16,17,19,23
雙贏彩,111000191,2022/08/11,1861750,37235,185800,01,02,03,08,10,13,14,16,17,19,20,22
雙贏彩,111000192,2022/08/12,1861750,37235,706200,02,04,05,06,07,08,11,12,14,18,23,24
雙贏彩,111000193,2022/08/13,2265800,45316,308100,01,02,03,04,06,09,11,15,18,19,21,23
雙贏彩,111000194,2022/08/15,1961550,39231,177700,02,03,06,07,10,11,15,17,19,20,21,23
雙贏彩,111000195,2022/08/16,1790700,35814,971700,01,04,05,06,07,09,12,15,17,19,22,23
雙贏彩,111000196,2022/08/17,2155350,43107,420500,01,02,04,06,08,10,11,13,18,21,22,23
雙贏彩,111000197,2022/08/18,1806100,36122,357600,01,03,06,11,12,13,14,17,19,20,21,24
雙贏彩,111000198,2022/08/19,1826800,36536,679800,04,06,07,08,09,10,13,14,15,18,19,24
雙贏彩,111000199,2022/08/20,2216700,44334,731500,01,02,04,08,10,11,12,14,17,20,21,23
雙贏彩,111000200,2022/08/22,1936500,38730,892600,02,03,06,08,11,12,13,16,18,22,23,24
雙贏彩,111000201,2022/08/23,1768250,35365,173200,02,03,04,06,07,08,09,10,13,17,19,21
雙贏彩,111000202,2022/08/24,2168600,43372,733500,01,02,04,05,08,10,11,12,16,19,20,24
雙贏彩,111000203,2022/08/25,1763600,35272,480200,01,02,05,07,13,14,16,18,19,21,22,24
雙贏彩,111000204,2022/08/26,1780400,35608,281600,01,02,04,06,08,09,12,14,16,17,22,24
雙贏彩,111000205,2022/08/27,2138450,42769,629800,05,06,07,10,11,13,15,18,19,21,22,24
雙贏彩,111000206,2022/08/29,1816000,36320,480400,03,04,05,08,11,12,15,16,17,19,21,24
雙贏彩,111000207,2022/08/30,1668350,33367,259800,02,05,07,09,12,14,17,18,19,21,23,24
雙贏彩,111000208,2022/08/31,2027150,40543,486600,01,04,05,10,11,12,14,15,17,18,19,22
雙贏彩,111000209,2022/09/01,1708750,34175,273900,01,04,07,10,14,15,16,17,20,21,22,24
雙贏彩,111000210,2022/09/02,1663200,33264,682100,01,03,04,06,07,09,10,11,14,16,20,22
雙贏彩,111000211,2022/09/03,1964850,39297,482200,02,03,05,07,10,16,18,19,20,22,23,24
雙贏彩,111000212,2022/09/05,1858300,37166,1076300,01,03,04,06,10,12,14,18,19,20,22,23
雙贏彩,111000213,2022/09/06,1719850,34397,557300,01,02,03,04,06,08,13,14,17,19,20,23
雙贏彩,111000214,2022/09/07,2093900,41878,714900,02,04,09,11,13,15,16,18,19,21,23,24
雙贏彩,111000215,2022/09/08,1785400,35708,485200,02,06,07,08,09,13,14,15,16,17,20,21
雙贏彩,111000216,2022/09/09,1765600,35312,978500,01,03,04,05,06,08,09,11,13,15,19,22
雙贏彩,111000217,2022/09/10,2231350,44627,624800,02,03,04,05,06,12,13,18,19,20,22,24
雙贏彩,111000218,2022/09/12,1835350,36707,473400,02,03,06,07,08,10,11,12,16,18,19,22
雙贏彩,111000219,2022/09/13,1712850,34257,780800,01,03,04,05,08,09,11,13,19,20,21,24
雙贏彩,111000220,2022/09/14,2100200,42004,413300,03,04,06,07,10,13,14,17,19,21,22,24
雙贏彩,111000221,2022/09/15,1787500,35750,583300,01,06,07,09,11,15,16,19,20,21,23,24
雙贏彩,111000222,2022/09/16,1777200,35544,785800,01,04,05,07,10,12,16,17,19,20,21,24
雙贏彩,111000223,2022/09/17,2152900,43058,610100,01,02,06,07,10,11,14,16,17,19,20,23
雙贏彩,111000224,2022/09/19,1901200,38024,367100,03,04,06,07,08,11,12,13,16,17,20,22
雙贏彩,111000225,2022/09/20,1715500,34310,181700,01,05,10,12,13,14,16,17,19,20,21,23
雙贏彩,111000226,2022/09/21,2115700,42314,422900,01,03,04,07,08,11,12,19,20,22,23,24
雙贏彩,111000227,2022/09/22,1776500,35530,371200,01,04,06,10,11,12,13,15,18,19,22,23
雙贏彩,111000228,2022/09/23,1780200,35604,711300,04,10,12,13,14,15,17,19,20,21,22,23
雙贏彩,111000229,2022/09/24,2130250,42605,608900,03,05,06,08,09,12,13,14,15,17,19,24
雙贏彩,111000230,2022/09/26,1899150,37983,1119100,01,03,05,06,08,09,13,15,17,18,19,21
雙贏彩,111000231,2022/09/27,1735500,34710,868900,01,02,08,10,11,12,15,17,18,22,23,24
雙贏彩,111000232,2022/09/28,2104650,42093,1006100,02,03,04,05,09,11,14,15,18,19,21,24
雙贏彩,111000233,2022/09/29,1748750,34975,624500,01,02,04,05,06,08,09,10,11,12,14,16
雙贏彩,111000234,2022/09/30,1781800,35636,373900,02,03,08,09,10,11,12,14,16,20,21,22
